classification,size,SPIRAL-NN-acc (Nearest Neighbor),SPIRAL-LR-acc (Logistic Regression),SPIRAL-RF-acc (Random Forest),SPIRAL-XT-acc (Extra Tree),SPIRAL-best-acc,NN-DTW-acc,,clustering,kshape-time,kshape-NMI,kshape-ri,kmeans-SPIRAL-time,kmeans-SPIRAL-NMI,kmeans-SPIRAL-ri
50words,905,0.743,0.747,0.695,0.705,0.747,0.758,,,789.977,0.482,0.150,0.356,0.668,0.298
Adiac,781,0.588,0.437,0.642,0.652,0.652,0.609,,,74.942,0.602,0.272,0.230,0.538,0.167
ArrowHead,211,0.783,0.663,0.743,0.789,0.789,0.8,,,2.474,0.077,0.041,0.017,0.260,0.167
Beef,60,0.500,0.667,0.667,0.833,0.833,0.667,,,1.604,0.239,0.098,0.013,0.233,0.035
BeetleFly,40,0.900,0.700,0.700,0.800,0.900,0.7,,,1.763,0.029,0.015,0.010,0.099,0.101
BirdChicken,40,0.700,0.600,0.700,0.800,0.800,0.7,,,0.886,0.008,-0.014,0.013,0.008,-0.015
Car,120,0.667,0.650,0.600,0.767,0.767,0.767,,,9.433,0.295,0.233,0.029,0.189,0.056
CBF,930,1.000,0.934,0.919,0.929,1.000,0.996,,,5.829,0.624,0.599,0.078,0.467,0.430
ChlorineConcentration,4307,0.621,0.558,0.672,0.678,0.678,0.65,,,186.340,0.001,0.000,0.174,0.001,0.002
CinC_ECG_torso,1420,0.916,0.854,0.810,0.859,0.916,0.93,,,682.732,0.089,0.062,0.079,0.492,0.343
Coffee,56,1.000,0.929,0.929,0.929,1.000,1,,,1.501,0.150,0.169,0.018,0.541,0.610
Computers,500,0.572,0.664,0.556,0.604,0.664,0.62,,,74.897,0.000,-0.001,0.058,0.055,0.054
Cricket_X,780,0.682,0.697,0.692,0.736,0.736,0.772,,,202.395,0.300,0.139,0.165,0.317,0.150
Cricket_Y,780,0.667,0.723,0.710,0.736,0.736,0.744,,,199.387,0.340,0.170,0.105,0.363,0.183
Cricket_Z,780,0.672,0.636,0.672,0.718,0.718,0.754,,,203.377,0.325,0.154,0.144,0.318,0.148
DiatomSizeReduction,322,0.922,0.611,0.915,0.954,0.954,0.935,,,6.570,0.750,0.767,0.022,0.088,0.012
DistalPhalanxOutlineAgeGroup,539,0.795,0.810,0.823,0.805,0.823,0.772,,,1.860,0.273,0.388,0.045,0.429,0.474
DistalPhalanxOutlineCorrect,876,0.763,0.475,0.845,0.837,0.845,0.768,,,8.753,0.000,0.000,0.024,0.004,0.001
DistalPhalanxTW,539,0.735,0.753,0.795,0.773,0.795,0.728,,,8.607,0.423,0.425,0.073,0.547,0.449
Earthquakes,461,0.773,0.590,0.820,0.811,0.820,0.742,,,46.381,0.001,0.011,0.029,0.042,-0.041
ECG200,200,0.900,0.790,0.820,0.890,0.900,0.88,,,0.385,0.076,0.104,0.012,0.146,0.241
ECG5000,5000,0.937,0.938,0.937,0.934,0.938,0.925,,,328.779,0.286,0.256,0.609,0.533,0.521
ECGFiveDays,884,0.798,0.846,0.698,0.815,0.846,0.797,,,35.948,0.007,0.008,0.057,0.036,0.042
ElectricDevices,16637,0.712,0.703,0.714,0.729,0.729,0.624,,,1103.165,0.285,0.103,1.543,0.346,0.226
FaceAll,2250,0.754,0.776,0.756,0.775,0.776,0.808,,,167.281,0.632,0.489,0.268,0.761,0.634
FaceFour,112,0.955,0.955,0.693,0.739,0.955,0.886,,,2.993,0.670,0.582,0.014,0.630,0.494
FacesUCR,2250,0.935,0.951,0.907,0.933,0.951,0.912,,,211.137,0.623,0.462,0.314,0.771,0.662
FISH,350,0.669,0.663,0.794,0.829,0.829,0.846,,,27.819,0.406,0.291,0.072,0.414,0.265
FordA,4921,0.654,0.495,0.666,0.676,0.676,0.659,,,290.728,0.105,0.138,0.140,0.001,0.001
FordB,4446,0.627,0.514,0.658,0.689,0.689,0.586,,,253.880,0.017,0.023,0.209,0.001,0.002
Gun_Point,200,0.967,0.867,0.873,0.913,0.967,0.913,,,2.856,0.024,0.028,0.014,0.001,-0.003
Ham,214,0.648,0.771,0.810,0.714,0.810,0.6,,,26.041,0.002,-0.002,0.028,0.043,0.051
HandOutlines,1370,0.800,0.846,0.892,0.886,0.892,0.803,,,367.174,0.027,0.018,0.091,0.136,0.103
Haptics,463,0.412,0.448,0.458,0.464,0.464,0.412,,,280.887,0.120,0.084,0.073,0.076,0.038
Herring,128,0.688,0.656,0.594,0.641,0.688,0.531,,,2.445,0.014,0.008,0.013,0.045,0.070
InlineSkate,650,0.335,0.280,0.269,0.309,0.335,0.387,,,1037.986,0.071,0.025,0.075,0.066,0.016
InsectWingbeatSound,2200,0.637,0.654,0.635,0.645,0.654,0.578,,,351.118,0.400,0.211,0.321,0.491,0.287
ItalyPowerDemand,1096,0.968,0.937,0.940,0.948,0.968,0.955,,,5.526,0.131,0.172,0.033,0.006,0.003
LargeKitchenAppliances,750,0.840,0.824,0.797,0.835,0.840,0.795,,,126.370,0.121,0.122,0.049,0.043,0.047
Lighting2,121,0.836,0.738,0.705,0.607,0.836,0.869,,,2.829,0.000,-0.007,0.010,0.076,0.107
Lighting7,143,0.726,0.753,0.781,0.753,0.781,0.712,,,6.779,0.464,0.306,0.021,0.447,0.247
MALLAT,2400,0.942,0.842,0.915,0.914,0.942,0.914,,,944.034,0.775,0.697,0.122,0.937,0.924
Meat,120,0.933,0.817,0.850,0.900,0.933,0.933,,,3.170,0.546,0.548,0.015,0.517,0.446
MedicalImages,1141,0.701,0.607,0.714,0.751,0.751,0.747,,,23.672,0.220,0.082,0.130,0.324,0.099
MiddlePhalanxOutlineAgeGroup,554,0.768,0.798,0.270,0.780,0.798,0.747,,,7.241,0.349,0.414,0.037,0.396,0.426
